Epoch	Train Loss	Val Loss	Val PixelAcc	Val Precision	Val Recall	Val F1	Val IoU
89	0.6576309791509656	N/A	N/A	N/A	N/A	N/A	N/A
90	0.7026461863863296	N/A	N/A	N/A	N/A	N/A	N/A
91	0.4868743039559627	0.5382504940032959	N/A	N/A	N/A	N/A	N/A
92	0.5276803348375403	N/A	N/A	N/A	N/A	N/A	N/A
93	0.7397303443024124	N/A	N/A	N/A	N/A	N/A	N/A
94	0.4490800180296967	N/A	N/A	N/A	N/A	N/A	N/A
95	0.6798571227253347	N/A	N/A	N/A	N/A	N/A	N/A
96	0.5419111424598141	N/A	N/A	N/A	N/A	N/A	N/A
97	0.6207669230474941	N/A	N/A	N/A	N/A	N/A	N/A
98	0.7399328273275624	N/A	N/A	N/A	N/A	N/A	N/A
99	0.6753829734912817	N/A	N/A	N/A	N/A	N/A	N/A
100	0.651178594948589	N/A	N/A	N/A	N/A	N/A	N/A
